fecha,econ_personal_actual,econ_pais_actual,econ_pais_12m,econ_pais_5a,consumo_hogar,ipec,fecha_dt,año,mes,fecha_str
NOV2017,40.5873768594141,42.8335519349329,56.5225010834039,39.9725649750792,57.0057271196405,47.3843443944941,2017-11-15,2017,11,2017-11
DIC2017,43.4655483807749,49.545485113412,66.2150128353567,51.436421358258,55.0826116827142,53.1490158741031,2017-12-15,2017,12,2017-12
ENE2018,41.0230066672291,47.2210380740139,63.0533612639893,43.2848990500062,62.8770652982795,51.4918740707036,2018-01-15,2018,1,2018-01
FEB2018,42.3,48.5,63.7,41.2,59.9,51.1,2018-02-15,2018,2,2018-02
MAR2018,43.9,46.3,61.2,41.3,57.2,50.0,2018-03-15,2018,3,2018-03
ABR2018,44.0910593653998,48.8992524062203,65.166695895565,42.2049571484019,55.8876220650089,51.2499173761192,2018-04-15,2018,4,2018-04
MAY2018,46.1910554658861,51.1751098226883,61.3745088315093,37.4043879375379,59.8773386298662,51.2044801374976,2018-05-15,2018,5,2018-05
JUN2018,50.0096501741732,51.9225077364713,61.3384844708637,39.3302246225718,61.0720927353352,52.734591947883,2018-06-15,2018,6,2018-06
JUL2018,47.4071329372954,49.6584353222619,58.3271885329057,37.3800010795093,57.2046165974462,49.9954748938837,2018-07-15,2018,7,2018-07
AGO2018,45.3660708519001,45.7052888820572,55.3036196488107,33.0326481619882,55.4665716166365,46.9748398322785,2018-08-15,2018,8,2018-08
SEP2018,44.2413375000747,47.7749365568055,55.8055072987993,29.4316811250811,53.0970793384856,46.0701083638492,2018-09-15,2018,9,2018-09
OCT2018,43.1207251661588,49.0485390275333,53.6475286252137,32.0504485940816,55.475397393265,46.6685277612505,2018-10-15,2018,10,2018-10
NOV2018,41.2455117384408,47.5096424483477,53.0848307854583,25.7132644307516,57.1386778297268,44.938385446545,2018-11-15,2018,11,2018-11
DIC2018,44.4726218272091,44.4299085430393,52.5760131582005,25.5301672193689,55.9401943323735,44.5897810160383,2018-12-15,2018,12,2018-12
ENE2019,43.5488395690918,50.3273963928223,54.9696655273438,27.4502296447754,58.9438018798828,47.0479850769043,2019-01-15,2019,1,2019-01
FEB2019,44.14892578125,48.7512245178223,52.5590744018555,28.6790981292725,57.2471961975098,46.2771034240723,2019-02-15,2019,2,2019-02
MAR2019,41.4775883175887,46.3082027741812,48.0836351446472,23.3021865377163,52.4173780732394,42.3177981694746,2019-03-15,2019,3,2019-03
